,Cognition,Affect,Social,Perception,overgeneralization,insightfulness,causality,conditional,safety,assurance,memory,optimism,pessimism,emotional,positive,negative,anxiety,anger,sadness,otherness,altruism,politeness,aggression,morality,communication,attention,movement,spatial,vision,auditory,interoception,time,nostalgic,contemporary,prospective
0,9.8,11.76,15.69,7.84,0.0,1.96,0.0,5.88,0.0,0.0,0.0,11.76,0.0,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,1.96,0.0,0.0,1.96,0.0,5.88,7.84
1,18.18,3.64,18.18,9.09,1.82,0.0,1.82,5.45,1.82,0.0,0.0,1.82,1.82,3.64,1.82,1.82,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,9.09,0.0,0.0,0.0,7.27,1.82,7.27,18.18
2,29.27,7.32,36.59,2.44,0.0,0.0,4.88,9.76,4.88,0.0,0.0,2.44,4.88,4.88,0.0,4.88,0.0,0.0,2.44,4.88,0.0,0.0,0.0,0.0,2.44,0.0,2.44,2.44,0.0,0.0,0.0,2.44,14.63,4.88,0.0
3,20.0,5.0,26.67,10.0,0.0,5.0,1.67,5.0,8.33,1.67,0.0,1.67,3.33,1.67,0.0,1.67,0.0,1.67,0.0,3.33,0.0,0.0,1.67,0.0,1.67,0.0,1.67,1.67,3.33,0.0,3.33,1.67,1.67,15.0,5.0
4,12.16,2.7,24.32,5.41,0.0,2.7,0.0,2.7,4.05,0.0,0.0,0.0,2.7,2.7,0.0,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2.7,1.35,2.7,0.0,0.0,6.76,0.0,12.16,9.46
5,18.18,1.52,13.64,7.58,1.52,4.55,1.52,0.0,6.06,0.0,0.0,1.52,0.0,1.52,1.52,0.0,0.0,0.0,0.0,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.0,4.55,3.03,0.0,0.0,3.03,3.03,9.09,3.03
6,9.72,2.78,12.5,11.11,0.0,2.78,0.0,0.0,5.56,0.0,0.0,2.78,0.0,1.39,1.39,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,2.78,0.0,2.78,5.56,2.78,0.0,0.0,1.39,5.56,6.94,2.78
7,14.47,3.95,19.74,9.21,0.0,1.32,1.32,1.32,6.58,0.0,0.0,1.32,2.63,2.63,1.32,1.32,0.0,0.0,1.32,1.32,0.0,0.0,1.32,0.0,0.0,0.0,0.0,7.89,0.0,0.0,1.32,6.58,1.32,3.95,2.63
8,13.04,8.7,21.74,10.14,0.0,2.9,4.35,0.0,1.45,0.0,0.0,4.35,4.35,4.35,1.45,2.9,0.0,1.45,1.45,2.9,0.0,0.0,1.45,2.9,0.0,0.0,4.35,5.8,0.0,0.0,0.0,2.9,1.45,13.04,2.9
9,7.55,3.77,32.08,7.55,0.0,1.89,1.89,1.89,1.89,0.0,0.0,3.77,0.0,1.89,1.89,0.0,0.0,0.0,0.0,7.55,1.89,0.0,0.0,0.0,5.66,0.0,3.77,3.77,0.0,1.89,0.0,7.55,1.89,5.66,5.66
10,6.38,14.89,17.02,4.26,0.0,4.26,0.0,2.13,0.0,0.0,0.0,10.64,2.13,8.51,4.26,2.13,2.13,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,2.13,0.0,2.13,0.0,0.0,0.0,8.51,0.0,10.64,0.0
11,21.05,5.26,17.54,7.02,1.75,5.26,3.51,1.75,3.51,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,0.0,0.0,0.0,5.26,3.51,5.26,0.0
12,11.9,9.52,21.43,7.14,0.0,4.76,7.14,0.0,2.38,0.0,0.0,4.76,2.38,7.14,2.38,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,0.0,2.38,0.0,2.38,0.0,7.14,0.0
13,23.44,1.56,32.81,4.69,0.0,6.25,3.13,3.13,0.0,1.56,0.0,0.0,1.56,1.56,0.0,1.56,1.56,0.0,0.0,7.81,4.69,0.0,0.0,0.0,4.69,1.56,0.0,1.56,0.0,1.56,0.0,4.69,1.56,10.94,0.0
14,15.56,2.22,20.0,8.89,0.0,8.89,4.44,2.22,6.67,0.0,0.0,2.22,0.0,2.22,2.22,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,2.22,0.0,4.44,4.44,0.0,0.0,0.0,6.67,13.33,15.56,4.44
15,5.88,5.88,19.12,13.24,0.0,0.0,1.47,0.0,0.0,0.0,0.0,5.88,0.0,2.94,2.94,0.0,0.0,0.0,0.0,4.41,2.94,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,5.88,0.0,10.29,5.88,4.41,0.0
16,10.0,8.33,15.0,3.33,0.0,3.33,0.0,3.33,0.0,0.0,0.0,1.67,3.33,3.33,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1.67,3.33,1.67,0.0,0.0,1.67,1.67,0.0,0.0,0.0,5.0,11.67,0.0,3.33
17,12.07,8.62,10.34,13.79,1.72,0.0,3.45,3.45,1.72,0.0,0.0,1.72,6.9,3.45,0.0,3.45,0.0,0.0,3.45,1.72,1.72,0.0,0.0,0.0,0.0,0.0,1.72,12.07,0.0,0.0,0.0,1.72,5.17,0.0,3.45
18,8.53,5.43,20.16,15.5,1.55,1.55,2.33,0.78,1.55,0.0,0.0,2.33,2.33,5.43,2.33,1.55,0.0,0.0,1.55,2.33,0.78,0.0,0.0,0.0,0.0,0.78,3.88,11.63,2.33,0.0,0.0,3.88,3.1,7.75,0.0
19,10.0,6.67,6.67,12.22,0.0,3.33,1.11,1.11,1.11,0.0,0.0,4.44,2.22,2.22,1.11,1.11,0.0,0.0,0.0,3.33,1.11,0.0,1.11,0.0,1.11,0.0,2.22,5.56,3.33,0.0,0.0,8.89,0.0,5.56,2.22
20,1.04,2.08,15.63,15.63,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0,6.25,9.38,1.04,0.0,0.0,7.29,8.33,1.04,0.0
21,12.82,10.26,12.82,2.56,0.0,5.13,0.0,0.0,0.0,0.0,0.0,5.13,5.13,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,2.56,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,2.56,0.0,10.26,0.0
22,14.46,8.43,19.28,8.43,0.0,6.02,0.0,0.0,1.2,3.61,0.0,2.41,6.02,3.61,1.2,2.41,0.0,1.2,0.0,6.02,1.2,0.0,2.41,0.0,1.2,0.0,1.2,2.41,3.61,0.0,1.2,2.41,2.41,8.43,4.82
23,5.85,5.32,12.23,15.43,1.06,0.53,0.53,0.53,0.53,0.0,0.0,2.13,3.19,1.6,0.53,1.06,0.53,0.53,0.0,1.6,0.0,0.0,0.0,0.53,0.0,0.0,3.72,10.11,0.53,1.06,0.0,5.85,13.3,0.0,1.06
24,7.14,2.86,30.0,5.71,0.0,1.43,1.43,1.43,1.43,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,0.0,1.43,0.0,7.14,15.71,1.43,2.86
25,10.26,8.97,12.82,6.41,0.0,3.85,1.28,0.0,0.0,0.0,0.0,2.56,6.41,2.56,0.0,2.56,1.28,1.28,0.0,3.85,0.0,0.0,1.28,1.28,1.28,0.0,1.28,6.41,0.0,0.0,0.0,12.82,8.97,7.69,3.85
26,6.9,0.0,24.14,17.24,0.0,3.45,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,10.34,0.0,0.0,0.0,0.0,0.0,0.0
27,7.41,5.56,11.11,14.81,1.85,1.85,0.0,3.7,0.0,0.0,0.0,5.56,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,9.26,3.7,0.0,0.0,3.7,12.96,0.0,0.0
28,5.71,2.86,5.71,11.43,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,5.71,2.86,0.0,0.0,2.86,11.43,5.71,0.0
29,30.77,0.0,7.69,3.85,0.0,7.69,0.0,0.0,23.08,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,3.85
30,6.56,9.84,36.07,8.2,3.28,3.28,0.0,0.0,0.0,0.0,0.0,3.28,6.56,4.92,0.0,4.92,1.64,0.0,3.28,18.03,1.64,6.56,0.0,0.0,8.2,0.0,3.28,4.92,0.0,0.0,0.0,9.84,9.84,0.0,0.0
31,8.91,3.96,20.79,6.93,1.98,5.94,0.0,0.99,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.99,0.0,0.0,2.97,0.0,2.97,4.95,0.0,0.0,0.0,2.97,7.92,2.97,3.96
32,14.29,8.44,18.83,7.14,1.3,1.3,1.3,1.95,1.95,1.95,0.65,6.49,1.95,2.6,1.3,1.3,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,1.95,0.65,1.95,1.95,0.65,0.0,11.69,11.69,2.6,0.65
33,15.97,3.47,20.14,11.81,2.08,4.86,2.08,2.08,0.0,0.69,0.0,1.39,1.39,2.08,0.69,0.69,0.0,0.69,0.0,2.78,0.69,0.0,0.69,0.0,1.39,0.0,0.69,11.11,0.69,0.0,0.0,6.94,9.03,0.0,0.0
34,12.41,9.66,14.48,6.9,2.07,2.76,1.38,2.07,0.69,1.38,0.0,6.21,2.76,5.52,2.76,2.07,0.0,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.69,0.0,2.07,5.52,0.0,0.0,0.69,4.83,17.24,0.69,1.38
35,14.29,10.88,28.57,6.8,1.36,4.76,1.36,2.04,1.36,0.68,0.0,3.4,7.48,4.76,1.36,2.72,0.0,1.36,0.0,6.8,0.0,0.0,2.72,2.04,0.68,0.0,0.68,3.4,1.36,0.0,1.36,4.08,14.97,1.36,0.0
36,15.63,3.75,17.5,11.88,2.5,5.63,0.63,1.25,1.25,1.25,0.0,2.5,1.25,1.25,0.0,1.25,0.63,0.63,0.0,1.88,0.0,0.0,0.0,0.0,1.25,0.63,3.13,6.88,1.25,0.0,0.63,6.25,13.13,0.63,0.63
37,14.78,6.96,22.61,2.61,2.61,4.35,2.61,0.87,2.61,0.87,0.0,2.61,4.35,5.22,0.87,4.35,0.0,0.87,0.0,3.48,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.87,0.0,0.0,1.74,6.96,19.13,1.74,0.0
38,16.87,4.22,23.49,8.43,0.6,7.23,1.2,1.2,2.41,0.6,0.0,2.41,1.81,1.2,0.0,1.2,0.0,0.6,0.0,4.82,0.6,0.0,0.0,0.0,3.01,0.6,1.81,3.61,0.6,0.0,1.81,3.61,12.05,1.81,1.2
39,19.21,1.99,27.15,6.62,1.32,5.3,1.32,2.65,0.66,0.66,0.0,1.32,0.66,1.32,0.66,0.66,0.0,0.0,0.66,4.64,0.0,0.0,0.0,0.0,1.99,0.66,1.99,4.64,0.0,0.0,0.66,2.65,12.58,0.0,0.0
40,8.57,2.86,9.52,14.29,4.76,0.0,0.0,0.0,0.95,0.95,0.95,1.9,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,7.62,0.0,0.0,1.9,10.48,13.33,0.95,0.0
41,13.33,5.83,30.83,10.0,0.83,5.0,0.83,5.0,0.83,0.0,0.0,4.17,1.67,2.5,0.83,1.67,0.83,0.83,0.0,6.67,0.0,0.0,0.0,0.0,4.17,0.83,4.17,5.0,0.0,0.0,0.0,4.17,15.83,0.83,3.33
42,15.69,6.86,23.53,6.86,2.94,1.96,0.0,0.98,2.94,1.96,1.96,0.0,6.86,1.96,0.0,1.96,0.0,0.98,0.0,6.86,0.0,0.0,1.96,1.96,2.94,0.0,0.0,3.92,0.98,0.98,0.98,12.75,17.65,2.94,0.98
43,11.2,8.0,27.2,9.6,0.8,2.4,0.8,0.8,3.2,0.0,0.0,0.8,7.2,4.0,0.8,3.2,0.8,0.8,0.0,4.8,0.0,0.0,2.4,1.6,0.0,0.0,3.2,7.2,0.0,0.0,0.0,6.4,12.0,0.0,2.4
44,8.22,6.85,13.7,21.92,0.0,0.0,0.0,4.11,1.37,0.0,0.0,2.74,1.37,5.48,1.37,1.37,0.0,0.0,1.37,1.37,0.0,0.0,0.0,0.0,1.37,0.0,2.74,19.18,1.37,1.37,0.0,9.59,12.33,1.37,0.0
45,13.68,3.16,15.79,11.58,3.16,4.21,1.05,3.16,1.05,0.0,0.0,0.0,3.16,3.16,0.0,3.16,1.05,0.0,2.11,1.05,0.0,0.0,0.0,0.0,0.0,0.0,3.16,9.47,0.0,0.0,0.0,5.26,14.74,0.0,1.05
46,13.25,9.64,14.46,14.46,0.0,1.2,1.2,3.61,4.82,0.0,0.0,4.82,4.82,2.41,1.2,1.2,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,1.2,0.0,1.2,4.82,7.23,0.0,1.2,8.43,12.05,1.2,2.41
47,5.06,10.13,18.99,13.92,1.27,1.27,1.27,0.0,1.27,0.0,0.0,3.8,6.33,1.27,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,10.13,1.27,0.0,0.0,3.8,10.13,1.27,0.0
48,14.95,3.74,19.63,6.54,0.0,10.28,0.93,0.93,3.74,0.0,1.87,1.87,1.87,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,0.0,1.87,0.0,5.61,0.93,2.8,1.87,0.93,0.0,0.0,11.21,14.02,1.87,0.0
49,13.24,1.47,20.59,7.35,4.41,1.47,0.0,5.88,2.94,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,1.47,1.47,0.0,4.41,1.47,0.0,0.0,5.88,14.71,1.47,0.0
50,14.1,5.13,23.08,15.38,1.28,2.56,1.28,6.41,3.85,0.0,0.0,1.28,3.85,2.56,0.0,2.56,1.28,0.0,0.0,3.85,0.0,0.0,1.28,0.0,2.56,0.0,5.13,8.97,1.28,0.0,0.0,8.97,17.95,0.0,1.28
51,18.75,2.5,13.75,10.0,3.75,5.0,1.25,1.25,2.5,0.0,0.0,0.0,2.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.75,1.25,0.0,2.5,8.75,18.75,1.25,0.0
52,12.5,2.27,20.45,9.09,0.0,4.55,5.68,3.41,0.0,0.0,0.0,0.0,2.27,1.14,0.0,1.14,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,2.27,0.0,3.41,4.55,0.0,0.0,1.14,4.55,0.0,6.82,2.27
53,11.58,4.21,17.89,6.32,2.11,2.11,2.11,3.16,1.05,0.0,0.0,2.11,2.11,1.05,0.0,1.05,1.05,0.0,0.0,5.26,1.05,0.0,1.05,0.0,2.11,0.0,2.11,4.21,1.05,0.0,0.0,3.16,3.16,8.42,2.11
54,11.29,4.84,35.48,3.23,1.61,3.23,1.61,1.61,0.0,0.0,0.0,4.84,0.0,4.84,4.84,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,6.45,0.0,0.0,3.23,0.0,0.0,0.0,3.23,11.29,8.06,0.0
55,8.77,5.26,21.05,11.4,0.88,0.88,0.88,1.75,0.0,1.75,0.0,3.51,1.75,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,1.75,0.0,0.88,0.0,5.26,7.89,0.0,0.0,0.0,3.51,0.0,13.16,3.51
56,9.8,3.92,29.41,11.76,0.0,0.0,1.96,1.96,0.0,0.0,0.0,3.92,0.0,1.96,1.96,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,1.96,0.0,1.96,7.84,1.96,0.0,0.0,3.92,5.88,9.8,0.0
57,14.81,5.56,24.07,12.96,1.85,3.7,0.0,1.85,1.85,0.0,0.0,3.7,1.85,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,1.85,3.7,0.0,1.85,12.96,0.0,0.0,0.0,1.85,3.7,7.41,0.0
58,7.69,1.92,32.69,9.62,1.92,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,3.85,7.69,0.0,0.0,0.0,0.0,1.92,7.69,1.92
59,15.91,4.55,11.36,13.64,4.55,6.82,2.27,0.0,0.0,0.0,0.0,2.27,2.27,2.27,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,6.82,4.55,0.0,0.0,9.09,13.64,11.36,0.0
60,10.87,6.52,19.57,9.78,2.17,4.35,2.17,1.09,0.0,0.0,0.0,1.09,5.43,1.09,1.09,0.0,0.0,0.0,0.0,5.43,0.0,0.0,2.17,2.17,1.09,1.09,4.35,5.43,1.09,0.0,0.0,1.09,3.26,9.78,0.0
61,11.9,8.33,26.19,3.57,2.38,2.38,1.19,1.19,0.0,0.0,0.0,4.76,3.57,3.57,2.38,1.19,1.19,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,5.95,2.38,13.1,3.57
62,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,14.29,0.0
63,14.08,1.41,26.76,7.04,0.0,1.41,1.41,1.41,2.82,0.0,1.41,0.0,1.41,1.41,0.0,1.41,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,1.41,0.0,4.23,2.82,0.0,0.0,0.0,1.41,7.04,8.45,2.82
64,8.33,12.5,36.11,2.78,1.39,1.39,0.0,2.78,0.0,0.0,0.0,5.56,6.94,5.56,5.56,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5.56,1.39,2.78,0.0,0.0,2.78,0.0,0.0,0.0,1.39,5.56,4.17,0.0
65,11.76,3.92,17.65,17.65,0.0,0.0,1.96,3.92,1.96,0.0,0.0,3.92,0.0,1.96,1.96,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,3.92,7.84,3.92,5.88,0.0,0.0,1.96,1.96,7.84,5.88
66,33.33,0.0,11.11,5.56,0.0,5.56,0.0,5.56,5.56,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,5.56,0.0
67,8.18,6.36,25.45,10.0,0.0,0.91,0.0,0.91,2.73,0.0,0.0,4.55,1.82,1.82,0.0,1.82,0.0,0.0,0.0,6.36,0.91,0.0,0.0,0.0,2.73,0.0,1.82,7.27,0.91,0.0,0.0,2.73,0.91,12.73,0.0
68,11.76,5.88,21.57,3.92,0.0,3.92,0.0,1.96,0.0,0.0,0.0,1.96,3.92,1.96,0.0,1.96,0.0,1.96,0.0,3.92,0.0,0.0,1.96,0.0,1.96,0.0,1.96,3.92,0.0,0.0,0.0,0.0,0.0,5.88,1.96
69,5.36,12.5,17.86,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,7.14,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,5.36,0.0,0.0,0.0,3.57,12.5,0.0,0.0,0.0,1.79,0.0,14.29,0.0
70,40.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
71,28.26,2.17,30.43,2.17,0.0,2.17,2.17,6.52,8.7,0.0,6.52,0.0,2.17,2.17,0.0,2.17,0.0,2.17,0.0,2.17,0.0,0.0,2.17,0.0,2.17,0.0,0.0,2.17,0.0,0.0,0.0,2.17,0.0,13.04,0.0
72,15.38,9.62,15.38,1.92,0.0,1.92,0.0,3.85,1.92,0.0,0.0,5.77,1.92,5.77,1.92,1.92,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,1.92,7.69,3.85,3.85
73,3.28,0.0,14.75,8.2,1.64,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,1.64,6.56,0.0,0.0,0.0,4.92,0.0,8.2,4.92
74,3.33,26.67,10.0,13.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,6.67,20.0,13.33,0.0,13.33,0.0,0.0,10.0,6.67,0.0,0.0,3.33,0.0,0.0,0.0,3.33,6.67,0.0,0.0,3.33,0.0,3.33,6.67,3.33
75,2.86,14.29,25.71,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,11.43,5.71,2.86,2.86,0.0,0.0,0.0,11.43,2.86,0.0,8.57,0.0,0.0,2.86,2.86,5.71,0.0,0.0,0.0,0.0,0.0,5.71,2.86
76,13.46,11.54,15.38,15.38,1.92,3.85,1.92,0.0,1.92,0.0,0.0,0.0,9.62,3.85,0.0,1.92,0.0,1.92,0.0,5.77,0.0,1.92,3.85,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,1.92,1.92,9.62,1.92
77,8.43,4.82,18.07,7.23,0.0,3.61,0.0,0.0,1.2,1.2,0.0,2.41,2.41,1.2,0.0,1.2,0.0,0.0,0.0,2.41,2.41,0.0,0.0,0.0,2.41,1.2,0.0,6.02,0.0,0.0,0.0,6.02,2.41,4.82,2.41
78,6.45,8.06,14.52,3.23,0.0,1.61,0.0,3.23,1.61,0.0,0.0,3.23,4.84,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,1.61,0.0,0.0,0.0,0.0,1.61,1.61,0.0,0.0,8.06,1.61,3.23,4.84
79,8.2,6.56,14.75,16.39,0.0,3.28,0.0,0.0,1.64,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,11.48,3.28,0.0,0.0,1.64,0.0,6.56,4.92
80,8.05,6.9,14.94,5.75,1.15,0.0,1.15,2.3,1.15,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,3.45,1.15,0.0,0.0,3.45,1.15,4.6,2.3
81,6.9,5.17,10.34,12.07,1.72,1.72,0.0,0.0,3.45,1.72,0.0,1.72,3.45,1.72,0.0,1.72,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,1.72,0.0,0.0,5.17,1.72,3.45,1.72
82,2.16,3.6,15.11,11.51,0.0,0.0,0.0,0.72,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,7.91,0.72,2.16,0.0,10.07,4.32,5.76,0.0
83,5.97,3.73,11.19,10.45,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.75,2.99,2.24,0.75,1.49,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.99,6.72,0.75,0.0,1.49,10.45,2.24,9.7,5.22
84,7.0,3.0,15.0,9.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,8.0,3.0,6.0,4.0
85,7.22,4.12,13.4,11.34,0.0,1.03,1.03,0.0,2.06,0.0,0.0,2.06,2.06,2.06,0.0,2.06,0.0,2.06,0.0,3.09,1.03,0.0,0.0,0.0,2.06,0.0,3.09,8.25,1.03,0.0,0.0,4.12,8.25,8.25,1.03
86,11.32,1.89,13.21,18.87,0.0,5.66,0.0,1.89,1.89,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,1.89,5.66,11.32,3.77,0.0,0.0,3.77,1.89,9.43,1.89
87,10.99,7.69,35.16,7.69,0.0,3.3,3.3,1.1,1.1,1.1,0.0,3.3,4.4,3.3,0.0,3.3,0.0,0.0,2.2,7.69,0.0,0.0,0.0,1.1,5.49,2.2,0.0,4.4,2.2,0.0,0.0,3.3,5.49,6.59,0.0
88,6.96,6.33,14.56,8.23,0.0,0.63,1.27,0.63,0.0,0.0,0.0,2.53,3.8,0.63,0.63,0.0,0.0,0.0,0.0,6.96,0.63,0.63,1.9,1.27,1.27,0.0,1.27,5.7,1.27,0.0,0.0,4.43,3.16,7.59,1.27
89,7.95,5.68,18.18,14.77,1.14,3.41,2.27,1.14,1.14,0.0,2.27,3.41,2.27,2.27,2.27,0.0,0.0,0.0,0.0,2.27,0.0,0.0,2.27,0.0,0.0,1.14,1.14,9.09,4.55,0.0,0.0,5.68,6.82,5.68,1.14
90,4.55,7.95,12.5,9.09,2.27,0.0,1.14,0.0,0.0,0.0,0.0,5.68,2.27,3.41,1.14,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,6.82,0.0,0.0,0.0,12.5,9.09,0.0,0.0
91,9.57,4.35,17.39,12.17,0.0,0.0,0.0,5.22,1.74,2.61,0.0,3.48,0.87,2.61,1.74,0.87,0.0,0.87,0.0,7.83,0.0,0.0,0.87,0.0,3.48,0.0,6.09,6.09,0.0,0.0,0.0,8.7,12.17,0.0,2.61
92,7.32,1.22,13.41,13.41,0.0,0.0,1.22,1.22,0.0,0.0,0.0,0.0,1.22,1.22,0.0,1.22,1.22,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,9.76,6.1,1.22,0.0,0.0,4.88,7.32,1.22,0.0
93,15.53,6.8,11.65,8.74,1.94,5.83,3.88,0.0,1.94,0.0,0.0,3.88,2.91,2.91,0.0,2.91,0.97,0.0,0.0,0.97,0.97,0.0,0.0,0.0,0.0,2.91,1.94,0.97,0.0,0.97,0.0,3.88,12.62,1.94,0.0
94,3.37,4.49,16.85,11.24,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,4.49,3.37,0.0,3.37,1.12,0.0,1.12,3.37,0.0,1.12,0.0,0.0,2.25,0.0,3.37,8.99,0.0,0.0,0.0,8.99,14.61,0.0,0.0
95,3.75,0.0,2.5,16.25,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.25,3.75,5.0,2.5,5.0,1.25,5.0,7.5,0.0,1.25
96,6.56,2.46,12.3,14.75,0.82,2.46,0.0,0.0,0.82,0.0,0.0,0.82,1.64,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.82,0.0,3.28,2.46,1.64,9.02,1.64,0.0,0.0,4.1,9.84,0.82,0.0
